Title,Year,Duration,ParentGuide,Rating,Reviews
The Shawshank Redemption,1994,2h 22m,R,9.3,2.8M
The Godfather,1972,2h 55m,R,9.2,2M
The Dark Knight,2008,2h 32m,PG-13,9.0,2.8M
The Godfather Part II,1974,3h 22m,R,9.0,1.3M
12 Angry Men,1957,1h 36m,Approved,9.0,849K
Schindler's List,1993,3h 15m,R,9.0,1.4M
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,1.9M
Pulp Fiction,1994,2h 34m,R,8.9,2.2M
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,2M
"The Good, the Bad and the Ugly",1966,2h 58m,Approved,8.8,800K
Forrest Gump,1994,2h 22m,PG-13,8.8,2.2M
Fight Club,1999,2h 19m,R,8.8,2.3M
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,1.8M
Inception,2010,2h 28m,PG-13,8.8,2.5M
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,1.4M
The Matrix,1999,2h 16m,R,8.7,2M
Goodfellas,1990,2h 25m,R,8.7,1.2M
One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,1.1M
Se7en,1995,2h 7m,R,8.6,1.8M
It's a Wonderful Life,1946,2h 10m,PG,8.6,493K
Interstellar,2014,2h 49m,PG-13,8.7,2M
Seven Samurai,1954,3h 27m,Not Rated,8.6,362K
The Silence of the Lambs,1991,1h 58m,R,8.6,1.5M
Saving Private Ryan,1998,2h 49m,R,8.6,1.5M
City of God,2002,2h 10m,R,8.6,791K
Life Is Beautiful,1997,1h 56m,PG-13,8.6,733K
The Green Mile,1999,3h 9m,R,8.6,1.4M
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,1.4M
Terminator 2: Judgment Day,1991,2h 17m,R,8.6,1.2M
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6,332K
Back to the Future,1985,1h 56m,PG,8.5,1.3M
Spirited Away,2001,2h 5m,PG,8.6,830K
The Pianist,2002,2h 30m,R,8.5,896K
Parasite,2019,2h 12m,R,8.5,923K
Psycho,1960,1h 49m,R,8.5,709K
Gladiator,2000,2h 35m,R,8.5,1.6M
The Lion King,1994,1h 28m,G,8.5,1.1M
Léon: The Professional,1994,1h 50m,R,8.5,1.2M
The Departed,2006,2h 31m,R,8.5,1.4M
American History X,1998,1h 59m,R,8.5,1.2M
Whiplash,2014,1h 46m,R,8.5,961K
The Prestige,2006,2h 10m,PG-13,8.5,1.4M
Grave of the Fireflies,1988,1h 29m,Not Rated,8.5,303K
Harakiri,1962,2h 13m,Not Rated,8.6,66K
