Location,Status,URL,Address,Utilities,Bathroom,Bedroom,Rent_USD
Golfdown Rentals,Excellent,https://www.zumper.com/apartment-buildings/p542296/golfdown-rentals-the-elms-old-rexdale-toronto-on,"50 Golfdown Drive, Toronto, ON M9W 2H7","In Unit Laundry,Air Conditioning,On Site Laundry",2 baths,1 bed,$850
"Homestead Rd & Skelding Ct, Toronto, ON M1E 3S2",Verified,https://www.zumper.com/apartments-for-rent/55738165/2-bedroom-west-hill-toronto-on,"Homestead Rd & Skelding Ct, Toronto, ON M1E 3S2","Central Heat,In Unit Laundry,Air Conditioning",2 baths,2 beds,"$1,260"
"Redpath Ave & Broadway Ave, Toronto, ON M4P 0E6",,https://www.zumper.com/apartments-for-rent/56104448/2-bedroom-north-toronto-toronto-on,"Redpath Ave & Broadway Ave, Toronto, ON M4P 0E6","Hardwood Floor,Roof Deck,Concierge Service",2 baths,2 beds,"$1,980"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"30 Samuel Wood Way #2007, Toronto, ON M9B 0C9","Balcony,Furnished,Fitness Center",2 baths,2 beds,"$2,200,$2,100,Price drop"
"Livingston Rd & Sylvan Ave #707, Toronto, ON M1E 1K8",,https://www.zumper.com/address/45-livingston-rd-toronto-on-m1e-1k8-can,"Livingston Rd & Sylvan Ave #707, Toronto, ON M1E 1K8","Onsite Management,Hardwood Floor,Swimming Pool",2 baths,2 beds,"$2,400"
1155-1199 Lansdowne Avenue,Excellent,https://www.zumper.com/apartment-buildings/p219454/1155-1199-lansdowne-avenue-davenport-toronto-on,"1199 1155-1199 Lansdowne Avenue, Toronto, ON M6H 3Z7","Fireplace,Storage,Hardwood Floor",2 baths,2 beds,"$2,467–$2,507"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"31 1118-31 Tippett Road, Toronto, ON M3H 0C8","Concierge Service,Dishwasher,Onsite Management",2 baths,2 beds,"$2,495"
"286 Main St #603, Toronto, ON M4C 0B3",,https://www.zumper.com/address/286-main-st-toronto-on-m4c-0b3-can,"286 Main St #603, Toronto, ON M4C 0B3","Assigned Parking,In Unit Laundry,Hardwood Floor",2 baths,2 beds,"$2,500"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"630 Greenwood Ave #406, Toronto, ON M4J 0A8","Outdoor Space,Swimming Pool,Balcony",2 baths,2 beds,"$2,500"
"76 Morningside Ave #1, Toronto, ON M1E 3C2",,https://www.zumper.com/address/76-morningside-ave-toronto-on-m1e-3c2-can,"76 Morningside Ave #1, Toronto, ON M1E 3C2","Furnished,In Unit Laundry,$2,500",2 baths,3 beds,"$2,500"
"76 Morningside Ave #BS, Toronto, ON M1E 3C2",,https://www.zumper.com/address/76-morningside-ave-toronto-on-m1e-3c2-can,"76 Morningside Ave #BS, Toronto, ON M1E 3C2","Air Conditioning,Assigned Parking,In Unit Laundry",2 baths,3 beds,"$2,500"
Brookbanks Apartments,,https://www.zumper.com/apartment-buildings/p543653/brookbanks-apartments-parkwoods-donalda-toronto-on,"15 Brookbanks Dr, Toronto, ON M3A 2S9","Dishwasher,On Site Laundry,Balcony",2 baths,2–3 beds,"$2,550–$3,185"
"19 Western Battery Road #12, Toronto, ON M6K 0E3",,https://www.zumper.com/address/19-western-battery-rd-toronto-on-m6k-0e3-can,"19 Western Battery Road #12, Toronto, ON M6K 0E3","Swimming Pool,Dishwasher,Concierge Service",2 baths,2 beds,"$2,550"
"2799 Kingston Rd #710, Toronto, ON M1M 0E3",,https://www.zumper.com/address/2799-kingston-rd-toronto-on-m1m-0e3-can,"2799 Kingston Rd #710, Toronto, ON M1M 0E3","Concierge Service,In Unit Laundry,Outdoor Space",2 baths,2 beds,"$2,595"
"36 Lisgar St #1717, Toronto, ON M6J 0C7",,https://www.zumper.com/address/36-lisgar-st-toronto-on-m6j-0a9-can,"36 Lisgar St #1717, Toronto, ON M6J 0C7","Residents Lounge,Storage,High Ceilings",2 baths,2 beds,"$2,595"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"20 Joe Shuster Way #721, Toronto, ON M6K 0A3","Central Heat,Hardwood Floor,In Unit Laundry",2 baths,2 beds,"$2,600"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"12 Bonnycastle Street #910, Toronto, ON M5A 0C8","Hardwood Floor,Storage,Balcony",2 baths,2 beds,"$2,600"
"840 Saint Clair Avenue West #611, Toronto, ON M6C 1C1",,https://www.zumper.com/address/840-st-clair-ave-w-toronto-on-m6c-1c1-can,"840 Saint Clair Avenue West #611, Toronto, ON M6C 1C1","Onsite Management,Air Conditioning,Business Center",2 baths,2 beds,"$2,600"
"106 Lappin Avenue #1, Toronto, ON M6H 1Y4",,https://www.zumper.com/address/106-lappin-ave-toronto-on-m6h-1y4-can,"106 Lappin Avenue #1, Toronto, ON M6H 1Y4","Balcony,Central Heat,Dishwasher",2 baths,2 beds,"$2,600"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"270 Dufferin Street #611, Toronto, ON M6K 0H8","Swimming Pool,Assigned Parking,Onsite Management",2 baths,2 beds,"$2,600"
"1495 King St W #3rdFL, Toronto, ON M6K 1J4",,https://www.zumper.com/address/1495-king-st-w-toronto-on-m6k-1j4-can,"1495 King St W #3rdFL, Toronto, ON M6K 1J4","Outdoor Space,On Site Laundry,Assigned Parking",2 baths,2 beds,"$2,650"
"99 The Donway West, Toronto, ON M3C 0N8",,https://www.zumper.com/address/99-the-donway-w-toronto-on-m3c-0g4-can,"99 The Donway West, Toronto, ON M3C 0N8","Storage,Roof Deck,Residents Lounge",2 baths,2 beds,"$2,650"
"15 James Finlay Way #601, Toronto, ON M3M 0B3",,https://www.zumper.com/address/15-james-finlay-way-toronto-on-m3m-0b3-can,"15 James Finlay Way #601, Toronto, ON M3M 0B3","Swimming Pool,Residents Lounge,In Unit Laundry",2 baths,2 beds,"$2,800,$2,650,Price drop"
"108 Peter Street #1903, Toronto, ON M5V 2G7",,https://www.zumper.com/address/108-peter-st-toronto-on-m5v-2g7-can,"108 Peter Street #1903, Toronto, ON M5V 2G7","$2,650",2 baths,2 beds,"$2,650"
"20 O'Neill Road, Toronto, ON M3C 3M9",,https://www.zumper.com/address/20-o'neill-rd-toronto-on-m3c-3m9-can,"20 O'Neill Road, Toronto, ON M3C 3M9","Outdoor Space,High Ceilings,Air Conditioning",2 baths,2 beds,"$2,690"
"466 Vaughan Road, Toronto, ON M6C 2P7",,https://www.zumper.com/address/466-vaughan-rd-toronto-on-m6c-2p7-can,"466 Vaughan Road, Toronto, ON M6C 2P7","Central Heat,Air Conditioning,Hardwood Floor",2 baths,2 beds,"$2,695"
"2100 Bridletowne Cir #105, Toronto, ON M1W 0A6",,https://www.zumper.com/address/2100-bridletowne-cir-scarborough-on-m1w-0a6-can,"2100 Bridletowne Cir #105, Toronto, ON M1W 0A6","In Unit Laundry,Air Conditioning,High Ceilings",2 baths,2 beds,"$2,695"
"5131 Sheppard Ave E #605, Toronto, ON M1B 0C9",,https://www.zumper.com/address/5131-sheppard-ave-e-toronto-on-m1b-0c9-can,"5131 Sheppard Ave E #605, Toronto, ON M1B 0C9","In Unit Laundry,Garage Parking,High Ceilings",2 baths,2 beds,"$2,695"
"2369 Danforth Ave #708, Toronto, ON M4C 0B1",,https://www.zumper.com/address/2369-danforth-ave-toronto-on-m4c-0b1-can,"2369 Danforth Ave #708, Toronto, ON M4C 0B1","Balcony,Concierge Service,Fitness Center",2 baths,2 beds,"$2,700"
Apartment for rent at 46 Panorama Court,Excellent,https://www.zumper.com/apartment-buildings/p535589/apartment-for-rent-at-46-panorama-court-thistletown-beaumonde-heights-toronto-on,"46 Panorama Crt, Toronto, ON M9V 4A4","Elevator,On Site Laundry,Air Conditioning",2 baths,2 beds,"$2,700"
"36 Zorra Street #2605, Toronto, ON M8Z 0G5",,https://www.zumper.com/address/36-zorra-st-toronto-on-m8z-0g5-can,"36 Zorra Street #2605, Toronto, ON M8Z 0G5","Dishwasher,Roof Deck,Garden",2 baths,2 beds,"$2,700"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"36 Lisgar St #1916, Toronto, ON M6J 0C7","Hardwood Floor,Residents Lounge,Elevator",2 baths,2 beds,"$2,700"
"2055 Danforth Avenue, Toronto, ON M4C 1J8",,https://www.zumper.com/apartments-for-rent/52498642/2-bedroom-east-danforth-toronto-on,"2055 Danforth Avenue, Toronto, ON M4C 1J8","Garage Parking,In Unit Laundry,Controlled Access",2 baths,2 beds,"$2,700"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"2 Sonic way, Toronto, ON M3C 0P2","Central Heat,Air Conditioning,Assigned Parking",2 baths,2 beds,"$2,700"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"6 Sonic way, Toronto, ON M3C 0P1","In Unit Laundry,Central Heat,High Ceilings",2 baths,2 beds,"$2,700"
"108 Peter Street #2001, Toronto, ON M5V 2G7",,https://www.zumper.com/address/108-peter-st-toronto-on-m5v-2g7-can,"108 Peter Street #2001, Toronto, ON M5V 2G7","Garage Parking,Residents Lounge,Storage",2 baths,2 beds,"$2,700"
"80 Mclevin Avenue, Toronto, ON M1B None",,https://www.zumper.com/address/80-mclevin-ave-toronto-on-m1b-none-can,"80 Mclevin Avenue, Toronto, ON M1B None","Concierge Service,Residents Lounge,Onsite Management",2 baths,2 beds,"$2,745"
"4091 Sheppard Ave E #1207, Toronto, ON M1S 3H2",,https://www.zumper.com/address/4091-sheppard-ave-e-toronto-on-m1s-3h2-can,"4091 Sheppard Ave E #1207, Toronto, ON M1S 3H2","In Unit Laundry,Residents Lounge,Wheelchair Accessible",2 baths,3 beds,"$2,745"
"55 Mercer Street #520, Toronto, ON M5V 3W2",,https://www.zumper.com/address/55-mercer-st-toronto-on-m5v-3w2-can,"55 Mercer Street #520, Toronto, ON M5V 3W2","Swimming Pool,Onsite Management,Central Heat",2 baths,2 beds,"$2,749"
"2724 Lake Shore Blvd W, Toronto, ON M8V 1G8",,https://www.zumper.com/address/2724-lk-shr-blvd-w-toronto-on-m8v-1g8-can,"2724 Lake Shore Blvd W, Toronto, ON M8V 1G8","On Site Laundry,Outdoor Space,$2,875",2 baths,2 beds,"$2,875,$2,750,Price drop"
"1175 Dovercourt Rd Unit 1, Toronto, ON M6H 2Y1",,https://www.zumper.com/address/1175-dovercourt-rd-toronto-on-m6h-2y1-can,"1175 Dovercourt Rd Unit 1, Toronto, ON M6H 2Y1","Dishwasher,On Site Laundry,Air Conditioning",2 baths,3 beds,"$2,950,$2,750,Price drop"
"17 Zorra Street #606, Toronto, ON M8Z 0C8",,https://www.zumper.com/address/17-zorra-st-toronto-on-m8z-0c8-can,"17 Zorra Street #606, Toronto, ON M8Z 0C8","Concierge Service,Fitness Center,In Unit Laundry",2 baths,2 beds,"$2,750"
"Spadina Ave. & Bloor St W, Toronto, ON M5S 1K1",,https://www.zumper.com/apartments-for-rent/56470649/2-bedroom-university-of-toronto-toronto-on,"Spadina Ave. & Bloor St W, Toronto, ON M5S 1K1","High Ceilings,In Unit Laundry,Dishwasher",2 baths,2 beds,"$2,750"
"1285 Queen St E #212, Toronto, ON M4L None",,https://www.zumper.com/address/1285-queen-st-e-toronto-on-m4l-none-can,"1285 Queen St E #212, Toronto, ON M4L None","Fitness Center,$2,750",2 baths,2 beds,"$2,750"
"10 De Boers Drive #1108, Toronto, ON M3J 0L6",,https://www.zumper.com/address/10-de-boers-dr-toronto-on-m3j-0l6-can,"10 De Boers Drive #1108, Toronto, ON M3J 0L6","Garage Parking,Fitness Center,Roof Deck",2 baths,2 beds,"$2,750"
"99 Broadway Ave #LPH03, Toronto, ON M4P 0E3",,https://www.zumper.com/address/99-bdwy-ave-toronto-on-m4p-0e3-can,"99 Broadway Ave #LPH03, Toronto, ON M4P 0E3","In Unit Laundry,Fitness Center,Swimming Pool",2 baths,2 beds,"$2,750"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2,"621 Sheppard Avenue East, Toronto, ON M2K 0G4","Onsite Management,Elevator,Concierge Service",2 baths,2 beds,"$2,750"
"35 Brian Peck Crescent, Toronto, ON M4G 0A5",,https://www.zumper.com/address/35-brian-peck-crk-toronto-on-m4g-4j7-can,"35 Brian Peck Crescent, Toronto, ON M4G 0A5","Fitness Center,Elevator,Residents Lounge",2 baths,2 beds,"$2,750"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=2,"245 The Donway West, Toronto, ON M3B 3M3","Assigned Parking,Concierge Service,Dishwasher",2 baths,2 beds,"$2,750"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=2,"50 Forest Manor Road, Toronto, ON M2J 0E3","Fireplace,Garage Parking,Ceiling Fan",2 baths,2 beds,"$2,750"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=2,"195 Redpath Avenue #2606, Toronto, ON M4P 0E4","In Unit Laundry,Balcony,Air Conditioning",2 baths,2 beds,"$2,780"
Towns On Danforth,Excellent,https://www.zumper.com/apartment-buildings/p1051722/towns-on-danforth-oakridge-toronto-on,"35 Danforth Rd, Toronto, ON M1L 3W5","Onsite Management,Outdoor Space,Storage",2 baths,2–3 beds,"$2,790–$3,770"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=2,"6 Sonic way, Toronto, ON M3C 0P1","Hardwood Floor,Dishwasher,Onsite Management",2 baths,2 beds,"$2,790"
"909-10 Wilby Crescent York, ON M9N 0B6",Excellent,https://www.zumper.com/apartment-buildings/p938356/909-10-wilby-crescent-york-on-m9n-0b6-weston-toronto-on,"10 Wilby Cres, Toronto, ON M9N 0B6","Wheelchair Accessible,Controlled Access,Storage",2 baths,2 beds,"$2,795"
